Name,Population,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Xilin,19,0,0,4,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
Sentosa,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,5
One North,6,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,6,6,6,6,6,6
Raffles Place,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Lakeside,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,9,10,10,10,10
Lower Seletar,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Changi West,17,0,0,0,14,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
Somerset,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nee Soon,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fort Canning,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2
Queensway,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2
Clarke Quay,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Subzone,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
Kent Ridge,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,4,4,5
Ridout,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,12,12,12,12,12
Anson,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Changi Point,8,0,0,0,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Cecil,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paterson,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Boulevard,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nature Reserve,39,0,0,0,0,0,0,0,0,0,0,0,0,1,7,13,19,31,34,38,38,38
Dhoby Ghaut,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maritime Square,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,16,22,22,24
Kampong Glam,2,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Newton Circus,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Sembawang Straits,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boat Quay,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kampong Bugis,9,0,0,0,0,0,3,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Swiss Club,56,0,0,0,0,0,0,0,0,2,3,7,9,11,27,41,50,55,55,55,55,55
Tyersall,35,0,0,0,0,0,0,0,0,2,6,10,16,19,21,23,28,29,29,30,30,30
Pasir Ris Park,30,0,1,4,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Springleaf,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mackenzie,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
Malcolm,26,0,0,0,0,0,0,0,12,17,20,23,24,24,26,26,26,26,26,26,26,26
Yio Chu Kang East,41,0,0,0,0,0,0,0,0,0,16,34,38,40,41,41,41,41,41,41,41,41
Loyang East,22,0,0,0,20,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
Tanglin,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Tagore,84,0,0,0,0,0,0,0,0,0,0,44,73,80,82,83,84,84,84,84,84,84
Goodwood Park,9,0,0,0,0,0,0,0,0,1,2,2,3,3,3,3,3,3,3,3,4,4
Bukit Merah,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,8,10,10,11
Bayshore,75,0,0,15,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
Woodleigh,24,0,0,0,0,0,0,0,3,13,21,23,24,24,24,24,24,24,24,24,24,24
Holland Road,103,0,0,0,0,0,0,0,0,0,0,0,3,14,47,88,96,99,101,101,103,103
Leedon Park,63,0,0,0,0,0,0,0,0,0,4,7,13,25,44,50,57,59,61,62,62,62
Dunearn,39,0,0,0,0,0,0,0,13,27,31,33,36,36,36,36,36,36,36,36,36,36
Hillcrest,88,0,0,0,0,0,0,0,18,49,67,73,80,82,84,86,86,86,86,86,86,86
Alexandra North,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,7,7,7
Yishun Central,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanjong Pagar,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Pasir Panjang 1,40,0,0,0,0,0,0,0,0,0,0,0,0,2,6,16,23,26,31,32,33,33
Sembawang Springs,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nassim,83,0,0,0,0,0,0,0,39,64,74,76,77,78,78,78,78,78,78,78,78,78
Gombak,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,27,85,98,98,98,98
Pasir Panjang 2,35,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,18,24,28,30,31,31
People's Park,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2
Chatsworth,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,21,45,49,52,52
Orange Grove,14,0,0,0,0,0,0,0,4,6,7,10,11,11,11,11,11,11,11,11,11,11
Coronation Road,62,0,0,0,0,0,0,0,0,9,14,25,31,34,41,47,51,52,54,55,56,57
Wenya,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,81,86,86,86,86,86
Dairy Farm,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,35,53,54,54,54
Faber,43,0,0,0,0,0,0,0,0,0,0,0,0,4,15,31,40,41,43,43,43,43
Tanjong Rhu,113,0,0,0,0,0,71,106,110,112,112,112,112,112,112,112,112,112,112,112,112,112
Robertson Quay,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,13,15
Sennett,45,0,0,0,0,0,24,39,43,44,44,44,44,44,44,44,44,44,44,44,44,44
One Tree Hill,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,7,8,9
Selegie,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monk's Hill,10,0,0,0,0,0,0,0,1,3,7,7,7,7,7,7,7,7,7,7,7,7
Mount Emily,11,0,0,0,0,0,0,0,1,2,3,3,3,3,3,3,3,3,3,3,3,3
Seletar Hills,136,0,0,0,0,0,0,0,0,0,122,135,136,136,136,136,136,136,136,136,136,136
Punggol Town Centre,74,0,0,0,0,0,0,0,0,0,21,73,74,74,74,74,74,74,74,74,74,74
Mountbatten,102,0,0,0,0,53,96,101,102,102,102,102,102,102,102,102,102,102,102,102,102,102
North Coast,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teban Gardens,191,0,0,0,0,0,0,0,0,0,0,0,1,10,69,141,178,186,189,190,190,190
Moulmein,85,0,0,0,0,0,0,25,73,83,84,84,84,84,84,84,85,85,85,85,85,85
Siglap,69,0,0,6,64,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69
Joo Seng,67,0,0,0,0,0,55,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67
Sunset Way,63,0,0,0,0,0,0,0,0,0,0,0,2,11,43,58,63,63,63,63,63,63
Leonie Hill,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,18,19,19
Oxley,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,6
Kampong Ubi,132,0,0,0,31,105,131,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132
Lorong Chuan,84,0,0,0,0,0,0,0,0,67,84,84,84,84,84,84,84,84,84,84,84,84
Cairnhill,33,0,0,0,0,0,0,0,14,25,29,32,32,32,32,32,32,32,32,32,32,32
Khatib,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Sembawang Hills,69,0,0,0,0,0,0,0,0,0,1,55,67,68,69,69,69,69,69,69,69,69
Bukit Batok South,139,0,0,0,0,0,0,0,0,0,0,0,1,7,48,115,139,139,139,139,139,139
Frankel,336,0,0,64,333,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336
Upper Thomson,303,0,0,0,0,0,0,0,0,12,171,300,303,303,303,303,303,303,303,303,303,303
Anak Bukit,220,0,0,0,0,0,0,0,0,0,0,1,8,37,115,206,220,220,220,220,220,220
West Coast,59,0,0,0,0,0,0,0,0,0,0,0,1,9,36,54,59,59,59,59,59,59
Tai Seng,147,0,0,0,0,0,60,123,140,145,147,147,147,147,147,147,147,147,147,147,147,147
Bugis,23,0,0,0,0,0,0,2,5,8,13,15,16,17,18,18,18,18,18,18,18,18
Farrer Court,47,0,0,0,0,0,0,0,0,0,3,5,7,12,24,30,33,37,39,39,39,39
Bencoolen,15,0,0,0,0,0,0,0,0,3,4,4,4,4,4,4,4,4,4,4,4,4
Institution Hill,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,20,23,25
Ulu Pandan,107,0,0,0,0,0,0,0,0,0,0,0,6,32,77,101,104,107,107,107,107,107
Katong,96,0,0,0,11,90,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96
Hillview,182,0,0,0,0,0,0,0,0,0,0,0,0,6,33,118,180,182,182,182,182,182
Dover,132,0,0,0,0,0,0,0,0,0,0,0,9,46,107,131,132,132,132,132,132,132
Victoria,21,0,0,0,0,0,0,0,3,5,9,11,11,11,13,13,15,15,15,15,15,15
Margaret Drive,105,0,0,0,0,0,0,0,0,0,0,0,3,16,67,101,105,105,105,105,105,105
Bedok Reservoir,254,0,7,111,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254
Hougang Central,48,0,0,0,0,0,0,0,0,22,46,48,48,48,48,48,48,48,48,48,48,48
Telok Blangah Drive,160,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,121,151,159,160,160,160
Kampong Java,113,0,0,0,0,0,0,43,106,110,112,113,113,113,113,113,113,113,113,113,113,113
Admiralty,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crawford,97,0,0,0,0,0,43,80,88,94,96,96,96,97,97,97,97,97,97,97,97,97
Depot Road,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,44,49,52,52,52,52
China Square,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,6
Guilin,131,0,0,0,0,0,0,0,0,0,0,0,0,2,23,98,131,131,131,131,131,131
Farrer Park,31,0,0,0,0,0,0,7,24,29,31,31,31,31,31,31,31,31,31,31,31,31
Toa Payoh West,134,0,0,0,0,0,0,0,119,134,134,134,134,134,134,134,134,134,134,134,134,134
Geylang East,334,0,0,0,111,331,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334
Serangoon Garden,392,0,0,0,0,0,0,0,141,387,392,392,392,392,392,392,392,392,392,392,392,392
Kovan,256,0,0,0,0,0,0,0,113,256,256,256,256,256,256,256,256,256,256,256,256,256
Lavender,103,0,0,0,0,0,0,57,99,102,102,103,103,103,103,103,103,103,103,103,103,103
Keat Hong,157,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,109,157,157,157,157,157
Flora Drive,130,0,3,50,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
Little India,38,0,0,0,0,0,0,0,12,23,30,33,34,34,35,35,35,35,35,35,35,35
Aljunied,417,0,0,0,0,298,416,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417
Everton Park,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,49,81,88,90
Kaki Bukit,408,0,0,85,407,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408
Pearl's Hill,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,67,77,80,80
Mandai Estate,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fernvale,356,0,0,0,0,0,0,0,0,139,354,356,356,356,356,356,356,356,356,356,356,356
Alexandra Hill,156,0,0,0,0,0,0,0,0,0,0,0,0,2,51,126,154,156,156,156,156,156
Simei,427,0,12,272,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427
Clementi Woods,164,0,0,0,0,0,0,0,0,0,0,1,11,50,140,164,164,164,164,164,164,164
Ang Mo Kio Town Centre,50,0,0,0,0,0,0,0,0,0,28,50,50,50,50,50,50,50,50,50,50,50
Marymount,315,0,0,0,0,0,0,0,0,95,314,315,315,315,315,315,315,315,315,315,315,315
Bishan East,288,0,0,0,0,0,0,0,0,235,288,288,288,288,288,288,288,288,288,288,288,288
Kembangan,384,0,0,48,379,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384
Balestier,323,0,0,0,0,0,0,277,323,323,323,323,323,323,323,323,323,323,323,323,323,323
Compassvale,185,0,0,0,0,0,0,0,0,75,185,185,185,185,185,185,185,185,185,185,185,185
Pasir Ris Central,257,0,2,99,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257
Bedok South,512,0,14,237,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512
Upper Paya Lebar,155,0,0,0,0,0,0,57,116,155,155,155,155,155,155,155,155,155,155,155,155,155
Geylang Bahru,129,0,0,0,0,0,99,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129
Clementi Central,135,0,0,0,0,0,0,0,0,0,0,2,9,44,120,135,135,135,135,135,135,135
Lorong 8 Toa Payoh,82,0,0,0,0,0,0,0,0,65,78,82,82,82,82,82,82,82,82,82,82,82
Waterway East,283,0,0,0,0,0,0,0,0,0,130,283,283,283,283,283,283,283,283,283,283,283
Sembawang North,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Choa Chu Kang Central,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,94,213,214,214,214,214
Potong Pasir,126,0,0,0,0,0,0,104,125,126,126,126,126,126,126,126,126,126,126,126,126,126
Woodlands West,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Chinatown,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,68,103,109,116
Northland,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Sungei Road,24,0,0,0,0,0,0,9,19,21,23,24,24,24,24,24,24,24,24,24,24,24
Matilda,304,0,0,0,0,0,0,0,0,0,151,304,304,304,304,304,304,304,304,304,304,304
Woodgrove,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Henderson Hill,129,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,57,117,128,129,129,129
Toh Guan,165,0,0,0,0,0,0,0,0,0,0,0,0,6,27,130,165,165,165,165,165,165
Mei Chin,168,0,0,0,0,0,0,0,0,0,0,0,3,36,107,160,168,168,168,168,168,168
Tampines West,781,0,28,506,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781,781
Lorong Ah Soo,342,0,0,0,0,0,0,57,237,342,342,342,342,342,342,342,342,342,342,342,342,342
Macpherson,286,0,0,0,0,198,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286
Woodlands South,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Kebun Bahru,239,0,0,0,0,0,0,0,0,0,191,239,239,239,239,239,239,239,239,239,239,239
Pasir Ris West,363,0,3,110,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363
Kim Keat,86,0,0,0,0,0,0,62,86,86,86,86,86,86,86,86,86,86,86,86,86,86
Clementi West,165,0,0,0,0,0,0,0,0,0,0,1,9,43,134,165,165,165,165,165,165,165
Braddell,108,0,0,0,0,0,0,0,87,108,108,108,108,108,108,108,108,108,108,108,108,108
Ghim Moh,119,0,0,0,0,0,0,0,0,0,0,5,20,53,111,119,119,119,119,119,119,119
Bendemeer,338,0,0,0,0,0,201,332,338,338,338,338,338,338,338,338,338,338,338,338,338,338
Taman Jurong,369,0,0,0,0,0,0,0,0,0,0,0,0,2,11,175,369,369,369,369,369,369
Marine Parade,289,0,0,0,129,288,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289
Serangoon Central,265,0,0,0,0,0,0,0,157,263,265,265,265,265,265,265,265,265,265,265,265,265
Anchorvale,380,0,0,0,0,0,0,0,0,0,357,380,380,380,380,380,380,380,380,380,380,380
Serangoon North,175,0,0,0,0,0,0,0,0,131,175,175,175,175,175,175,175,175,175,175,175,175
Trafalgar,448,0,0,0,0,0,0,0,0,364,448,448,448,448,448,448,448,448,448,448,448,448
Chong Boon,279,0,0,0,0,0,0,0,0,206,279,279,279,279,279,279,279,279,279,279,279,279
Kangkar,261,0,0,0,0,0,0,0,49,244,261,261,261,261,261,261,261,261,261,261,261,261
