Name,Descriptio,Area,Population,pop,_area,pop_den,centroid_XCOORD,centroid_YCOORD
Anson,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""> <head> <META http-equiv=""Content-Type"" content=""text/html""> <meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""> </head> <body style=""margin:0",Downtown Core,80,80,104634,0,29145.350052,28466.778334
Straits View,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""> <head> <META http-equiv=""Content-Type"" content=""text/html""> <meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""> </head> <body style=""margin:0",Straits View,-,0,1142536,0,30832.901788,28194.084367
Maritime Square,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""> <head> <META http-equiv=""Content-Type"" content=""text/html""> <meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""> </head> <body style=""margin:0",Bukit Merah,2560,2560,2739327,0,25805.786756,27911.419367
Telok Blangah Way,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""> <head> <META http-equiv=""Content-Type"" content=""text/html""> <meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""> </head> <body style=""margin:0",Bukit Merah,10690,10690,280567,0,26570.517350,28871.892242
Maxwell,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""> <head> <META http-equiv=""Content-Type"" content=""text/html""> <meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""> </head> <body style=""margin:0",Downtown Core,-,0,64525,0,29392.047827,29096.753923
Cecil,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""> <head> <META http-equiv=""Content-Type"" content=""text/html""> <meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""> </head> <body style=""margin:0",Downtown Core,160,160,199276,0,29730.198354,29011.328474
Kampong Tiong Bahru,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""> <head> <META http-equiv=""Content-Type"" content=""text/html""> <meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""> </head> <body style=""margin:0",Bukit Merah,10460,10460,370269,0,27335.830504,28979.773186
Telok Blangah Drive,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""> <head> <META http-equiv=""Content-Type"" content=""text/html""> <meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""> </head> <body style=""margin:0",Bukit Merah,16000,16000,1474484,0,25280.261257,28791.460639
Pasir Panjang 2,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""> <head> <META http-equiv=""Content-Type"" content=""text/html""> <meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""> </head> <body style=""margin:0",Queenstown,3520,3520,864733,0,23692.638502,28894.409984
Central Subzone,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""> <head> <META http-equiv=""Content-Type"" content=""text/html""> <meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""> </head> <body style=""margin:0",Downtown Core,480,480,1085190,0,30125.836769,28683.039949
Singapore General Hospital,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""> <head> <META http-equiv=""Content-Type"" content=""text/html""> <meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""> </head> <body style=""margin:0",Bukit Merah,10,10,540840,0,28147.221049,29131.036839
Depot Road,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""> <head> <META http-equiv=""Content-Type"" content=""text/html""> <meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""> </head> <body style=""margin:0",Bukit Merah,5200,5200,448481,0,25244.207198,29407.094094
People's Park,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""> <head> <META http-equiv=""Content-Type"" content=""text/html""> <meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""> </head> <body style=""margin:0",Outram,390,390,94402,0,28831.780735,29419.645751
Bukit Merah,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""> <head> <META http-equiv=""Content-Type"" content=""text/html""> <meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""> </head> <body style=""margin:0",Bukit Merah,1190,1190,417285,0,26360.799077,29384.142963
Chinatown,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""> <head> <META http-equiv=""Content-Type"" content=""text/html""> <meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""> </head> <body style=""margin:0",Outram,11880,11880,595157,0,29153.967661,29158.044397
Philip,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""> <head> <META http-equiv=""Content-Type"" content=""text/html""> <meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""> </head> <body style=""margin:0",Downtown Core,-,0,39971,0,29706.724254,29744.907932
Raffles Place,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""> <head> <META http-equiv=""Content-Type"" content=""text/html""> <meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""> </head> <body style=""margin:0",Downtown Core,60,60,191318,0,29968.617588,29572.761894
China Square,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""> <head> <META http-equiv=""Content-Type"" content=""text/html""> <meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""> </head> <body style=""margin:0",Outram,1590,1590,134804,0,29509.643719,29646.449510
Tiong Bahru,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""> <head> <META http-equiv=""Content-Type"" content=""text/html""> <meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""> </head> <body style=""margin:0",Bukit Merah,12190,12190,454194,0,27785.672063,29590.395179
Bayfront Subzone,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""> <head> <META http-equiv=""Content-Type"" content=""text/html""> <meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""> </head> <body style=""margin:0",Downtown Core,-,0,528242,0,30806.241886,29530.167087
Tiong Bahru Station,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""> <head> <META http-equiv=""Content-Type"" content=""text/html""> <meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""> </head> <body style=""margin:0",Bukit Merah,16670,16670,355527,0,27277.469823,29607.023713
Clifford Pier,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""> <head> <META http-equiv=""Content-Type"" content=""text/html""> <meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""> </head> <body style=""margin:0",Downtown Core,-,0,265382,0,30379.504159,29776.433459
Marina East (MP),"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""> <head> <META http-equiv=""Content-Type"" content=""text/html""> <meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""> </head> <body style=""margin:0",Marine Parade,-,0,1611823,0,33715.697529,30512.247665
Marina Centre,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""> <head> <META http-equiv=""Content-Type"" content=""text/html""> <meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""> </head> <body style=""margin:0",Downtown Core,20,20,898935,0,30938.098572,30471.826782
Bras Basah,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""> <head> <META http-equiv=""Content-Type"" content=""text/html""> <meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""> </head> <body style=""margin:0",Museum,10,10,226223,0,29793.093173,30958.095292
Oxley,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""> <head> <META http-equiv=""Content-Type"" content=""text/html""> <meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""> </head> <body style=""margin:0",River Valley,1380,1380,202756,0,28802.355543,31053.671768
City Hall,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""> <head> <META http-equiv=""Content-Type"" content=""text/html""> <meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""> </head> <body style=""margin:0",Downtown Core,60,60,720169,0,30209.073656,30536.507919
Mei Chin,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""> <head> <META http-equiv=""Content-Type"" content=""text/html""> <meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""> </head> <body style=""margin:0",Queenstown,16750,16750,758799,0,24651.069395,30651.134086
East Coast,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""> <head> <META http-equiv=""Content-Type"" content=""text/html""> <meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""> </head> <body style=""margin:0",Marine Parade,-,0,599776,0,36386.526196,31338.901602
National University of S'pore,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""> <head> <META http-equiv=""Content-Type"" content=""text/html""> <meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""> </head> <body style=""margin:0",Queenstown,360,360,1779667,0,21688.924357,30930.121367
One Tree Hill,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""> <head> <META http-equiv=""Content-Type"" content=""text/html""> <meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""> </head> <body style=""margin:0",River Valley,1840,1840,345346,0,27315.559253,31563.796810
Somerset,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""> <head> <META http-equiv=""Content-Type"" content=""text/html""> <meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""> </head> <body style=""margin:0",Orchard,130,130,333888,0,28626.561107,31494.904838
Bencoolen,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""> <head> <META http-equiv=""Content-Type"" content=""text/html""> <meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""> </head> <body style=""margin:0",Rochor,1460,1460,172970,0,29999.062694,31594.594078
Leonie Hill,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""> <head> <META http-equiv=""Content-Type"" content=""text/html""> <meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""> </head> <body style=""margin:0",River Valley,2450,2450,373462,0,28082.939717,31145.107960
Port,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""> <head> <META http-equiv=""Content-Type"" content=""text/html""> <meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""> </head> <body style=""margin:0",Queenstown,140,140,7704595,0,21576.076592,28788.217286
Dhoby Ghaut,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""> <head> <META http-equiv=""Content-Type"" content=""text/html""> <meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""> </head> <body style=""margin:0",Museum,210,210,224965,0,29320.073555,31245.748357
Bugis,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""> <head> <META http-equiv=""Content-Type"" content=""text/html""> <meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""> </head> <body style=""margin:0",Downtown Core,2330,2330,283960,0,30528.334770,31278.464460
Victoria,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""> <head> <META http-equiv=""Content-Type"" content=""text/html""> <meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""> </head> <body style=""margin:0",Rochor,2060,2060,217145,0,30189.210192,31335.725291
Paterson,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""> <head> <META http-equiv=""Content-Type"" content=""text/html""> <meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""> </head> <body style=""margin:0",River Valley,150,150,175461,0,27809.317106,31511.373391
Telok Blangah Rise,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""> <head> <META http-equiv=""Content-Type"" content=""text/html""> <meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""> </head> <body style=""margin:0",Bukit Merah,13820,13820,540882,0,27029.963893,28501.664970
Tanjong Pagar,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""> <head> <META http-equiv=""Content-Type"" content=""text/html""> <meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""> </head> <body style=""margin:0",Downtown Core,520,520,147485,0,29397.831047,28706.351532
Everton Park,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""> <head> <META http-equiv=""Content-Type"" content=""text/html""> <meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""> </head> <body style=""margin:0",Bukit Merah,9010,9010,643672,0,28333.577171,28602.992669
Tanglin Halt,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""> <head> <META http-equiv=""Content-Type"" content=""text/html""> <meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""> </head> <body style=""margin:0",Queenstown,13160,13160,510019,0,23925.440820,31512.785743
Mackenzie,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""> <head> <META http-equiv=""Content-Type"" content=""text/html""> <meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""> </head> <body style=""margin:0",Rochor,110,110,56434,0,29680.018229,32062.926337
Sungei Road,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""> <head> <META http-equiv=""Content-Type"" content=""text/html""> <meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""> </head> <body style=""margin:0",Rochor,2420,2420,117902,0,30601.344508,32003.102854
One North,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""> <head> <META http-equiv=""Content-Type"" content=""text/html""> <meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""> </head> <body style=""margin:0",Queenstown,620,620,2079348,0,23299.243778,31176.160569
Tanjong Rhu,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""> <head> <META http-equiv=""Content-Type"" content=""text/html""> <meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""> </head> <body style=""margin:0",Kallang,11310,11310,2467485,0,32740.120813,31438.308439
Mountbatten,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""> <head> <META http-equiv=""Content-Type"" content=""text/html""> <meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""> </head> <body style=""margin:0",Marine Parade,10210,10210,1736774,0,34449.704492,31557.744610
Commonwealth,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""> <head> <META http-equiv=""Content-Type"" content=""text/html""> <meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""> </head> <body style=""margin:0",Queenstown,8130,8130,314709,0,24278.770994,31919.970092
Dover,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""> <head> <META http-equiv=""Content-Type"" content=""text/html""> <meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""> </head> <body style=""margin:0",Queenstown,13200,13200,1405399,0,22015.532460,31800.524742
Ridout,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""> <head> <META http-equiv=""Content-Type"" content=""text/html""> <meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""> </head> <body style=""margin:0",Tanglin,1400,1400,1978236,0,25568.307761,31752.668629
Cairnhill,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""> <head> <META http-equiv=""Content-Type"" content=""text/html""> <meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""> </head> <body style=""margin:0",Newton,3330,3330,458586,0,28482.667259,32108.191920
Clementi West,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""> <head> <META http-equiv=""Content-Type"" content=""text/html""> <meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""> </head> <body style=""margin:0",Clementi,16470,16470,706924,0,20184.350834,31651.883437
Tuas View Extension,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""> <head> <META http-equiv=""Content-Type"" content=""text/html""> <meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""> </head> <body style=""margin:0",Tua,-,0,28084790,0,5092.894974,26137.873531
Monk's Hill,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""> <head> <META http-equiv=""Content-Type"" content=""text/html""> <meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""> </head> <body style=""margin:0",Newton,980,980,174041,0,28922.845699,32259.785627
Siglap,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""> <head> <META http-equiv=""Content-Type"" content=""text/html""> <meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""> </head> <body style=""margin:0",Bedok,6930,6930,1112663,0,38435.467925,32101.881290
Clementi Woods,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""> <head> <META http-equiv=""Content-Type"" content=""text/html""> <meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""> </head> <body style=""margin:0",Clementi,16400,16400,1067726,0,20764.198098,31824.742164
Pioneer Sector,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""> <head> <META http-equiv=""Content-Type"" content=""text/html""> <meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""> </head> <body style=""margin:0",Pioneer,-,0,2833756,0,8872.750171,31423.443487
Penjuru Crescent,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""> <head> <META http-equiv=""Content-Type"" content=""text/html""> <meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""> </head> <body style=""margin:0",Jurong East,10,10,3090948,0,17651.309092,31799.610294
Orange Grove,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt""> <head> <META http-equiv=""Content-Type"" content=""text/html""> <meta http-equiv=""content-type"" content=""text/html; charset=UTF-8""> </head> <body style=""margin:0",Newton,1440,1440,340764,0,27668.184153,32484.764067
